;value;isAnomaly
0;67.021676;0
1;64.09680945;0
2;58.81221928;0
3;68.50000115;0
4;37.44130171;1
5;66.33281594;0
6;74.55088214;0
7;84.29393711;0
8;82.8311155;0
9;59.03184805;0
10;63.8072406;0
11;69.94033418;0
12;46.39772904;1
13;48.89782194;0
14;60.66604894;0
15;65.59298511;0
16;45.83903097;0
17;69.09730338;0
18;59.19951226;0
19;73.09778517;0
20;50.24669109;0
21;57.69840603;0
22;50.43693595;0
23;63.49065352;0
24;10.51033988;1
25;67.61600084;0
26;-9.508204169;1
27;65.02216144;0
28;62.04570841;1
29;52.58660826;0
30;66.19340543;0
31;80.49560867;0
32;109.6976553;1
33;-41.48791739;1
34;63.64758567;0
35;58.80295217;0
36;59.85705563;0
37;78.45529314;0
38;-92.84702286;1
39;53.31617621;0
40;62.81655456;0
41;49.01488788;0
42;68.96383113;0
43;71.0040155;0
44;63.86972117;0
45;224.5846824;1
46;102.5097279;1
47;61.68267571;0
48;71.11604817;0
49;59.95171316;0
50;66.53943577;0
51;55.77858333;0
52;69.92851316;0
53;62.47225102;0
54;53.54402232;0
55;111.2081832;1
56;56.36921856;0
57;59.64733896;0
58;54.13023477;0
59;44.80754098;0
60;60.36791079;0
61;70.49476247;0
62;60.72755742;0
63;34.23294001;1
64;44.2438914;0
65;59.58485277;0
66;70.67220355;0
67;57.25619728;0
68;64.06268472;0
69;63.08053968;0
70;63.268163;0
71;169.7354588;1
72;72.94880665;0
73;48.73929729;0
74;59.96219639;0
75;142.297664;1
76;59.74508541;0
77;43.20026521;0
78;77.47974334;0
79;56.81926224;0
80;58.4775665;0
81;57.65760407;0
82;63.02581478;0
83;0.10737616;1
84;61.28986661;0
85;71.70574339;0
86;59.08688831;0
87;64.5807623;0
88;69.6938458;0
89;59.29702859;0
90;-84.41976645;1
91;51.11425739;0
92;74.83691766;0
93;62.89588751;0
94;57.03902353;0
95;59.9837807;0
96;65.71061585;0
97;50.0089717;0
98;70.29625409;0
99;57.06041737;0
100;59.45319843;0
101;62.31540839;0
102;71.34111101;0
103;177.8130328;1
104;69.18508711;0
105;68.4617534;0
106;58.02268027;0
107;61.69341448;0
108;184.8689995;1
109;55.3927476;0
110;63.28997521;0
111;58.14888062;0
112;67.31118506;0
113;51.92857546;0
114;64.98558489;0
115;0.628981297;1
116;64.67010201;0
117;81.59903819;0
118;70.68622226;0
119;43.80422876;0
120;65.98003805;0
121;58.1321714;0
122;60.61550135;0
123;74.12852063;0
124;60.89995267;1
125;63.92242377;0
126;66.48084302;0
127;68.76258929;0
128;64.08009331;0
129;74.78066788;0
130;59.86031193;0
131;50.69392265;0
132;53.277353;0
133;51.83553582;1
134;64.09201067;0
135;59.15905308;0
136;73.26520366;0
137;2.614474281;1
138;58.42803304;0
139;62.77095286;0
140;45.98338767;0
141;67.95514427;0
142;63.34651393;0
143;51.05023424;0
144;43.71977081;0
145;50.53044867;0
146;49.80676219;0
147;62.79552511;0
148;-78.95342886;1
149;142.9006663;1
150;59.08341868;0
151;53.54842097;0
152;48.92560051;0
153;65.23026305;0
154;64.11443167;0
155;70.89128317;0
156;190.2631675;1
157;74.7505034;0
158;58.86880611;0
159;221.3279469;1
160;52.9434002;0
161;63.57075305;0
162;55.04781534;0
163;63.81716593;0
164;55.86050976;0
165;68.73288519;0
166;46.46316028;0
167;43.45383144;0
168;58.72786502;0
